published,impact,av-attack-vector,av-attack-complexity,av-privileges-required,av-user-interaction,av-scope,av-confidentiality,av-integrity,av-availability
1994-11-30T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-12-19T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1995-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1995-02-01T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-02-17T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-03-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1995-03-03T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1995-03-03T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1995-04-03T04:00:00.000,10.0,N,H,Null,Null,Null,C,C,C
1995-05-10T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1995-07-31T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1995-07-31T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1995-08-02T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1995-08-17T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-08-23T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1995-08-29T04:00:00.000,10.0,L,H,Null,Null,Null,C,C,C
1995-08-31T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1995-09-07T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1995-10-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1995-10-13T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-10-19T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-11-01T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-11-30T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1995-12-01T05:00:00.000,6.4,L,H,Null,Null,Null,P,P,P
1995-12-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1995-12-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1995-12-12T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-01-02T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-01-03T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-02-02T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-02-08T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1996-02-21T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-02-25T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-03-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1996-03-20T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-03-29T05:00:00.000,6.4,L,H,Null,Null,Null,P,P,P
1996-04-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1996-04-03T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-04-18T04:00:00.000,2.9,L,M,Null,Null,Null,P,N,N
1996-04-24T04:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
